direction,author,paper_count,total_citations
A,Pen‐Chi Chiang,17,947
A,Shu-Yuan Pan,13,861
A,Rafael M. Santos,8,303
A,Krishna R. Reddy,8,118
A,Jyoti K. Chetri,7,111
B,Evgenii M. Shcherban’,35,362
B,Sergey A. Stel’makh,34,350
B,Levon R. Mailyan,27,288
B,Alexey N. Beskopylny,16,231
B,Andrei Chernil’nik,13,104
C,Aleksandra Radlińska,7,73
C,Peter J. Collins,6,71
C,Bernd Rattenbacher,6,5
C,Matthias Sperl,5,5
C,Nicolas Roussel,4,1417
D,Yixin Shao,22,2785
D,Caijun Shi,20,2038
D,Chi Sun Poon,18,2789
D,Duo Zhang,16,1939
D,Xiaojian Gao,15,1657
E,Xiaowei Ouyang,10,356
E,Chi Sun Poon,9,309
E,Tong Zhang,9,292
E,Meng Chen,9,292
E,Peiliang Shen,8,251
F,Youzhi Liu,25,689
F,Pen‐Chi Chiang,16,1091
F,Rafael M. Santos,16,409
F,Weizhou Jiao,14,475
F,Jianfeng Chen,13,362
