source_database,direction,direction_zh,query,records_fetched,status_code,error,retrieved_at
OpenAlex,A,超重力碳化固废,"""high gravity"" carbonation steel slag",50,200,unclear,2026-05-21T15:51:25.249842+00:00
OpenAlex,A,超重力碳化固废,"""high-gravity carbonation"" steel slag",41,200,unclear,2026-05-21T15:51:32.294710+00:00
OpenAlex,A,超重力碳化固废,"""rotating packed bed"" carbonation steel slag",50,200,unclear,2026-05-21T15:51:40.590058+00:00
OpenAlex,A,超重力碳化固废,"""high-gravity carbonation"" ""BOF slag""",12,200,unclear,2026-05-21T15:51:50.057781+00:00
OpenAlex,A,超重力碳化固废,"""rotating packed bed"" mineral carbonation",50,200,unclear,2026-05-21T15:51:58.999462+00:00
OpenAlex,A,超重力碳化固废,"""process intensification"" carbonation slag",50,200,unclear,2026-05-21T15:52:10.558855+00:00
OpenAlex,A,超重力碳化固废,"""high gravity"" ""mineral carbonation"" slag",50,200,unclear,2026-05-21T15:52:20.036310+00:00
OpenAlex,A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",50,200,unclear,2026-05-21T15:52:28.074550+00:00
OpenAlex,A,超重力碳化固废,"""BOF slag"" ""CO2 sequestration""",50,200,unclear,2026-05-21T15:52:37.240047+00:00
OpenAlex,A,超重力碳化固废,"""solid waste"" ""accelerated carbonation"" slag",50,200,unclear,2026-05-21T15:52:44.524125+00:00
OpenAlex,B,离心/超重力成型混凝土,"""centrifuged concrete""",50,200,unclear,2026-05-21T15:52:53.388287+00:00
OpenAlex,B,离心/超重力成型混凝土,"""spun concrete"" pipe pile",42,200,unclear,2026-05-21T15:53:01.698459+00:00
OpenAlex,B,离心/超重力成型混凝土,"""centrifugal casting"" concrete",50,200,unclear,2026-05-21T15:53:08.617321+00:00
OpenAlex,B,离心/超重力成型混凝土,"""centrifugal compaction"" cementitious",15,200,unclear,2026-05-21T15:53:14.310893+00:00
OpenAlex,B,离心/超重力成型混凝土,"""centrifugal concrete"" durability",25,200,unclear,2026-05-21T15:53:20.802604+00:00
OpenAlex,B,离心/超重力成型混凝土,"""concrete pipe pile"" centrifuged",26,200,unclear,2026-05-21T15:53:28.212184+00:00
OpenAlex,B,离心/超重力成型混凝土,"""prestressed concrete pipe pile"" ""spun concrete""",8,200,unclear,2026-05-21T15:53:32.354627+00:00
OpenAlex,B,离心/超重力成型混凝土,"""centrifugal forming"" concrete",46,200,unclear,2026-05-21T15:53:39.154533+00:00
OpenAlex,B,离心/超重力成型混凝土,"""centrifugally cast"" concrete pile",18,200,unclear,2026-05-21T15:53:44.968692+00:00
OpenAlex,B,离心/超重力成型混凝土,"""PHC pile"" ""centrifugal"" concrete",34,200,unclear,2026-05-21T15:53:51.105694+00:00
OpenAlex,C,重力场对水泥水化影响,"""cement hydration"" gravity",50,200,unclear,2026-05-21T15:54:00.049699+00:00
OpenAlex,C,重力场对水泥水化影响,"""microgravity"" ""cement paste""",50,200,unclear,2026-05-21T15:54:08.496906+00:00
OpenAlex,C,重力场对水泥水化影响,"""gravity effect"" ""cement hydration""",17,200,unclear,2026-05-21T15:54:16.173680+00:00
OpenAlex,C,重力场对水泥水化影响,"""hypergravity"" cement",50,200,unclear,2026-05-21T15:54:25.125892+00:00
OpenAlex,C,重力场对水泥水化影响,"""variable gravity"" cementitious materials",6,200,unclear,2026-05-21T15:54:32.083001+00:00
OpenAlex,C,重力场对水泥水化影响,"""cement paste"" ""microgravity"" hydration",47,200,unclear,2026-05-21T15:54:41.605220+00:00
OpenAlex,C,重力场对水泥水化影响,"""cementitious materials"" ""microgravity""",50,200,unclear,2026-05-21T15:54:50.619155+00:00
OpenAlex,C,重力场对水泥水化影响,"""cement hydration"" ""microgravity""",27,200,unclear,2026-05-21T15:55:00.284142+00:00
OpenAlex,C,重力场对水泥水化影响,"""cement paste"" ""gravity effect""",31,200,unclear,2026-05-21T15:55:11.661657+00:00
OpenAlex,C,重力场对水泥水化影响,"""hydration kinetics"" cement gravity",50,200,unclear,2026-05-21T15:55:20.546128+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""accelerated carbonation curing"" concrete",50,200,unclear,2026-05-21T15:55:27.519659+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""CO2 curing"" cementitious materials",50,200,unclear,2026-05-21T15:55:36.672575+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""carbonation curing"" cement mortar",50,200,unclear,2026-05-21T15:55:44.857218+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""early age carbonation"" cement paste",50,200,unclear,2026-05-21T15:55:54.816010+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""CO2 sequestration"" concrete curing",50,200,unclear,2026-05-21T15:56:02.246099+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""carbonation curing"" concrete strength",50,200,unclear,2026-05-21T15:56:11.119125+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""carbon dioxide curing"" concrete",50,200,unclear,2026-05-21T15:56:18.480724+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""CO2 curing"" concrete strength",50,200,unclear,2026-05-21T15:56:25.694523+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""accelerated carbonation"" cement paste curing",50,200,unclear,2026-05-21T15:56:34.067230+00:00
OpenAlex,D,CO2养护与碳化混凝土,"""carbonation curing"" recycled aggregate concrete",50,200,unclear,2026-05-21T15:56:43.720560+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbonated steel slag"" ""supplementary cementitious material""",50,200,unclear,2026-05-21T15:56:54.321910+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbonated waste concrete powder"" cement",0,200,unclear,2026-05-21T15:57:01.034517+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbonated recycled concrete fines""",50,200,unclear,2026-05-21T15:57:11.410192+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbide slag carbonation"" cement",3,200,unclear,2026-05-21T15:57:19.355323+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""mineral carbonation"" ""cement replacement""",50,200,unclear,2026-05-21T15:57:26.542395+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbonated slag"" cementitious material",50,200,unclear,2026-05-21T15:57:32.504671+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbonated recycled concrete powder""",11,200,unclear,2026-05-21T15:57:39.678890+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbonated steel slag"" cement",50,200,unclear,2026-05-21T15:57:46.698772+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbonated waste powder"" cementitious",2,200,unclear,2026-05-21T15:57:52.173118+00:00
OpenAlex,E,碳化固废辅助胶凝材料,"""carbonated construction waste"" cement",0,200,unclear,2026-05-21T15:57:55.169430+00:00
OpenAlex,F,旋转填充床与传质强化,"""rotating packed bed"" ""CO2"" ""calcium carbonate""",50,200,unclear,2026-05-21T15:57:59.965395+00:00
OpenAlex,F,旋转填充床与传质强化,"""high gravity technology"" carbonation",12,200,unclear,2026-05-21T15:58:03.265491+00:00
OpenAlex,F,旋转填充床与传质强化,"""rotating packed bed"" reactive crystallization",50,200,unclear,2026-05-21T15:58:09.202573+00:00
OpenAlex,F,旋转填充床与传质强化,"""high gravity"" gas liquid solid reaction",50,200,unclear,2026-05-21T15:58:15.412371+00:00
OpenAlex,F,旋转填充床与传质强化,"""process intensification"" ""mineral carbonation""",50,200,unclear,2026-05-21T15:58:22.745598+00:00
OpenAlex,F,旋转填充床与传质强化,"""rotating packed bed"" ""carbon dioxide"" mineralization",50,200,unclear,2026-05-21T15:58:28.796146+00:00
OpenAlex,F,旋转填充床与传质强化,"""rotating packed bed"" ""CO2 absorption"" carbonation",23,200,unclear,2026-05-21T15:58:34.204336+00:00
OpenAlex,F,旋转填充床与传质强化,"""high gravity"" ""mass transfer"" ""CO2""",50,200,unclear,2026-05-21T15:58:40.655721+00:00
OpenAlex,F,旋转填充床与传质强化,"""rotating packed bed"" precipitation calcium carbonate",50,200,unclear,2026-05-21T15:58:46.798238+00:00
OpenAlex,F,旋转填充床与传质强化,"""process intensified"" carbonation reactor",50,200,unclear,2026-05-21T15:58:51.465921+00:00
