direction_id,direction_zh,direction_name_en,query_label,query,from_year,to_year
A,超重力碳化固废,High gravity carbonation of solid waste,a_1,"""high gravity"" carbonation steel slag",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_2,"""high-gravity carbonation"" steel slag",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_3,"""rotating packed bed"" carbonation steel slag",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_4,"""high-gravity carbonation"" ""BOF slag""",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_5,"""rotating packed bed"" mineral carbonation",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_6,"""process intensification"" carbonation slag",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_7,"""high gravity"" ""mineral carbonation"" slag",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_8,"""steel slag"" ""CO2 mineralization""",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_9,"""BOF slag"" ""CO2 sequestration""",1990,
A,超重力碳化固废,High gravity carbonation of solid waste,a_10,"""solid waste"" ""accelerated carbonation"" slag",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_1,"""centrifuged concrete""",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_2,"""spun concrete"" pipe pile",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_3,"""centrifugal casting"" concrete",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_4,"""centrifugal compaction"" cementitious",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_5,"""centrifugal concrete"" durability",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_6,"""concrete pipe pile"" centrifuged",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_7,"""prestressed concrete pipe pile"" ""spun concrete""",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_8,"""centrifugal forming"" concrete",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_9,"""centrifugally cast"" concrete pile",1990,
B,离心/超重力成型混凝土,Centrifuged and spun concrete,b_10,"""PHC pile"" ""centrifugal"" concrete",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_1,"""cement hydration"" gravity",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_2,"""microgravity"" ""cement paste""",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_3,"""gravity effect"" ""cement hydration""",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_4,"""hypergravity"" cement",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_5,"""variable gravity"" cementitious materials",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_6,"""cement paste"" ""microgravity"" hydration",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_7,"""cementitious materials"" ""microgravity""",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_8,"""cement hydration"" ""microgravity""",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_9,"""cement paste"" ""gravity effect""",1990,
C,重力场对水泥水化影响,Gravity field effects on cement hydration,c_10,"""hydration kinetics"" cement gravity",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_1,"""accelerated carbonation curing"" concrete",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_2,"""CO2 curing"" cementitious materials",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_3,"""carbonation curing"" cement mortar",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_4,"""early age carbonation"" cement paste",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_5,"""CO2 sequestration"" concrete curing",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_6,"""carbonation curing"" concrete strength",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_7,"""carbon dioxide curing"" concrete",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_8,"""CO2 curing"" concrete strength",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_9,"""accelerated carbonation"" cement paste curing",1990,
D,CO2养护与碳化混凝土,CO2 curing and carbonated concrete,d_10,"""carbonation curing"" recycled aggregate concrete",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_1,"""carbonated steel slag"" ""supplementary cementitious material""",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_2,"""carbonated waste concrete powder"" cement",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_3,"""carbonated recycled concrete fines""",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_4,"""carbide slag carbonation"" cement",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_5,"""mineral carbonation"" ""cement replacement""",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_6,"""carbonated slag"" cementitious material",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_7,"""carbonated recycled concrete powder""",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_8,"""carbonated steel slag"" cement",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_9,"""carbonated waste powder"" cementitious",1990,
E,碳化固废辅助胶凝材料,Carbonated waste-derived supplementary cementitious materials,e_10,"""carbonated construction waste"" cement",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_1,"""rotating packed bed"" ""CO2"" ""calcium carbonate""",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_2,"""high gravity technology"" carbonation",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_3,"""rotating packed bed"" reactive crystallization",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_4,"""high gravity"" gas liquid solid reaction",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_5,"""process intensification"" ""mineral carbonation""",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_6,"""rotating packed bed"" ""carbon dioxide"" mineralization",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_7,"""rotating packed bed"" ""CO2 absorption"" carbonation",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_8,"""high gravity"" ""mass transfer"" ""CO2""",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_9,"""rotating packed bed"" precipitation calcium carbonate",1990,
F,旋转填充床与传质强化,Rotating packed bed and process intensification,f_10,"""process intensified"" carbonation reactor",1990,
