direction,title,year,authors,venue,doi,url,citation_count,abstract,relevance_reason_cn,possible_inspiration_for_my_project_cn
A,Future and emerging supplementary cementitious materials,2023,Ruben Snellings; Prannoy Suraneni; Jørgen Skibsted,Cement and Concrete Research,10.1016/j.cemconres.2023.107199,https://doi.org/10.1016/j.cemconres.2023.107199,484,unclear,相关：命中主题关键词：cement、concrete、cementitious、carbonation、carbonated,可用于方向 A 的问题定位：结合 2023 年论文《Future and emerging supplementary cementitious materials》的题录和引用数 484，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
A,Comprehensive utilization of steel slag: A review,2023,Wenhao Gao; Wentao Zhou; Xianjun Lyu; Xiao Liu; Huili Su; Chuanming Li; Hui Wang,Powder Technology,10.1016/j.powtec.2023.118449,https://doi.org/10.1016/j.powtec.2023.118449,373,unclear,相关：命中主题关键词：steel slag、slag,可用于方向 A 的问题定位：结合 2023 年论文《Comprehensive utilization of steel slag: A review》的题录和引用数 373，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
A,Strategies for mitigation of climate change: a review,2020,Samer Fawzy; Ahmed I. Osman; John Doran; David W. Rooney,Environmental Chemistry Letters,10.1007/s10311-020-01059-w,https://doi.org/10.1007/s10311-020-01059-w,1428,"Abstract Climate change is defined as the shift in climate patterns mainly caused by greenhouse gas emissions from natural systems and human activities. So far, anthropogenic activities have caused about 1.0 °C of global warming above the pre-industrial level and this is likely to reach 1.5 °C between 2030 and 2052 if the current emission rates persist. In 2018, the world encountered 315 cases of natural disasters which are mainly related to the climate. Approximately 68.5 million people were affected, and economic losses amounted to $131.7 billion, of which storms, floods, wildfires and droughts accounted for approximately 93%. Economic losses attributed to wildfires in 2018 alone are almost equal to the collective losses from wildfires incurred over the past decade, which is quite alarming. Furthermore, food, water, health, ecosystem, human habitat and infrastructure have been identified as the most vulnerable sectors under climate attack. In 2015, the Paris agreement was introduced with the main objective of limiting global temperature increase to 2 °C by 2100 and pursuing efforts to limit the increase to 1.5 °C. This article reviews the main strategies for climate change abatement, namely conventional mitigation, negative emissions and radiative forcing geoengineering. Conventional mitigation technologies focus on reducing fossil-based CO 2 emissions. Negative emissions technologies are aiming to capture and sequester atmospheric carbon to reduce carbon dioxide levels. Finally, geoengineering techniques of radiative forcing alter the earth’s radiative energy budget to stabilize or reduce global temperatures. It is evident that conventional mitigation efforts alone are not sufficient to meet the targets stipulated by the Paris agreement; therefore, the utilization of alternative routes appears inevitable. While various technologies presented may still be at an early stage of development, biogenic-based sequestration techniques are to a certain extent mature and can be deployed immediately.",相关：命中主题关键词：concrete、carbonation、mineral carbonation、slag、process intensification,可用于方向 A 的问题定位：结合 2020 年论文《Strategies for mitigation of climate change: a review》的题录和引用数 1428，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
A,Biomass waste utilisation in low-carbon products: harnessing a major potential resource,2019,Nimisha Tripathi; Colin D. Hills; R. S. Singh; C. J. Atkinson,npj Climate and Atmospheric Science,10.1038/s41612-019-0093-5,https://doi.org/10.1038/s41612-019-0093-5,598,"Abstract The increasing demand for food and other basic resources from a growing population has resulted in the intensification of agricultural and industrial activities. The wastes generated from agriculture are a burgeoning problem, as their disposal, utilisation and management practices are not efficient or universally applied. Particularly in developing countries, most biomass residues are left in the field to decompose or are burned in the open, resulting in significant environmental impacts. Similarly, with rapid global urbanisation and the rising demand for construction products, alternative sustainable energy sources and raw material supplies are required. Biomass wastes are an under-utilised source of material (for both energy and material generation), and to date, there has been little activity focussing on a ‘low-carbon’ route for their valorisation. Thus, the present paper attempts to address this by reviewing the global availability of biomass wastes and their potential for use as a feedstock for the manufacture of high-volume construction materials. Although targeted at practitioners in the field of sustainable biomass waste management, this work may also be of interest to those active in the field of carbon emission reductions. We summarise the potential of mitigating CO 2 in a mineralisation step involving biomass residues, and the implications for CO 2 capture and utilisation (CCU) to produce construction products from both solid and gaseous wastes. This work contributes to the development of sustainable value-added lower embodied carbon products from solid waste. The approach will offer reduced carbon emissions and lower pressure on natural resources (virgin stone, soil etc.).",相关：命中主题关键词：carbonation、slag,可用于方向 A 的问题定位：结合 2019 年论文《Biomass waste utilisation in low-carbon products: harnessing a major potential resource》的题录和引用数 598，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
A,CO2 mineral carbonation using industrial solid wastes: A review of recent developments,2021,Weizao Liu; Liumei Teng; Sohrab Rohani; Zhifeng Qin; Bin Zhao; Chunbao Xu; Shan Ren; Qingcai Liu; Bin Liang,Chemical Engineering Journal,10.1016/j.cej.2021.129093,https://doi.org/10.1016/j.cej.2021.129093,464,unclear,相关：命中主题关键词：carbonation、mineral carbonation、steel slag、slag、process intensification,可用于方向 A 的问题定位：结合 2021 年论文《CO2 mineral carbonation using industrial solid wastes: A review of recent developments》的题录和引用数 464，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
A,Outlook of carbon capture technology and challenges,2018,Tabbi Wilberforce; Ahmad Baroutaji; Bassel Soudan; Abdul Hai Alami; A.G. Olabi,The Science of The Total Environment,10.1016/j.scitotenv.2018.11.424,https://doi.org/10.1016/j.scitotenv.2018.11.424,443,unclear,相关：命中主题关键词：carbonation、slag、process intensification,可用于方向 A 的问题定位：结合 2018 年论文《Outlook of carbon capture technology and challenges》的题录和引用数 443，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
A,Green remediation of As and Pb contaminated soil using cement-free clay-based stabilization/solidification,2019,Lei Wang; Dong-Wan Cho; Daniel C.W. Tsang; Xinde Cao; Deyi Hou; Zhengtao Shen; Daniel S. Alessi; Yong Sik Ok; Chi Sun Poon,Environment International,10.1016/j.envint.2019.02.057,https://doi.org/10.1016/j.envint.2019.02.057,335,"Stabilization/solidification (S/S) is a low-cost and high-efficiency remediation method for contaminated soils, however, conventional cement-based S/S method has environmental constraints and sustainability concerns. This study proposes a low-carbon, cement-free, clay-based approach for simultaneous S/S of As and Pb in the contaminated soil, and accordingly elucidates the chemical interactions between alkali-activated clay binders and potentially toxic elements. Quantitative X-ray diffraction and 27Al nuclear magnetic resonance analyses indicated that the addition of lime effectively activated the hydration of kaolinite clay, and the presence of limestone further enhanced the polymerization of hydrates. X-ray photoelectron spectroscopy showed that approximately 19% of As[III] was oxidized to As[V] in the alkali-activated clay system, which reduced toxicity and facilitated immobilization of As. During the cement-free S/S process, As and Pb consumed Ca(OH)2 and precipitated as Ca3(AsO4)2·4H2O and Pb3(NO3)(OH)5, respectively, accounting for the low leachability of As (7.0%) and Pb (5.4%). However, the reduced amount of Ca(OH)2 decreased the degree of hydration of clay minerals, and the pH buffering capacity of the contaminated soil hindered the pH increase. Sufficient dosage of lime was required for ensuring satisfactory solidification and contaminant immobilization of the clay-based S/S products. The leachability of As and Pb in high-Ca S/S treated soil samples was reduced by 96.2% and 98.8%, respectively. This is the first study developing a green and cement-free S/S of As- and Pb-contaminated soil using clay minerals as an environmentally compatible binding material.",相关：命中主题关键词：cement、concrete、carbonation、carbon dioxide curing、slag,可用于方向 A 的问题定位：结合 2019 年论文《Green remediation of As and Pb contaminated soil using cement-free clay-based stabilization/solidification》的题录和引用数 335，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
A,Technologies for the management of MSW incineration ashes from gas cleaning: New perspectives on recovery of secondary raw materials and circular economy,2018,Margarida J. Quina; Elza Bontempi; Anna Bogush; Stefan Schlumberger; Gisela Weibel; Roberto Braga; Valerio Funari; Jiří Hykš; Erik N. Rasmussen; Jakob Lederer,The Science of The Total Environment,10.1016/j.scitotenv.2018.04.150,https://doi.org/10.1016/j.scitotenv.2018.04.150,313,"Environmental policies in the European Union focus on the prevention of hazardous waste and aim to mitigate its impact on human health and ecosystems. However, progress is promoting a shift in perspective from environmental impacts to resource recovery. Municipal solid waste incineration (MSWI) has been increasing in developed countries, thus the amount of air pollution control residues (APCr) and fly ashes (FA) have followed the same upward trend. APCr from MSWI is classified as hazardous waste in the List of Waste (LoW) and as an absolute entry (19 01 07*), but FA may be classified as a mirror entry (19 0 13*/19 01 14). These properties arise mainly from their content in soluble salts, potentially toxic metals, trace organic pollutants and high pH in contact with water. Since these residues have been mostly disposed of in underground and landfills, other possibilities must be investigated to recover secondary raw materials and products. According to the literature, four additional routes of recovery have been found: detoxification (e.g. washing), product manufacturing (e.g. ceramic products and cement), practical applications (e.g. CO2 sequestration) and recovery of materials (e.g. Zn and salts). This work aims to identify the best available technologies for material recovery in order to avoid landfill solutions. Within this scope, six case studies are presented and discussed: recycling in lightweight aggregates, glass-ceramics, cement, recovery of zinc, rare metals and salts. Finally, future perspectives are provided to advance understanding of this anthropogenic waste as a source of resources, yet tied to safeguards for the environment.",相关：命中主题关键词：cement、carbonation、slag,可用于方向 A 的问题定位：结合 2018 年论文《Technologies for the management of MSW incineration ashes from gas cleaning: New perspectives on recovery of secondary raw materials and circular economy》的题录和引用数 313，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
A,"Harnessing the power of machine learning for carbon capture, utilisation, and storage (CCUS) – a state-of-the-art review",2021,Yongliang Yan; Yongliang Yan; Tohid N. Borhani; Sai Gokul Subraveti; Kasturi Nagesh Pai; Vinay Prasad; Arvind Rajendran; Paula Nkulikiyinka; Jude O. Asibor; Zhien Zhang; Ding Shao; Lijuan Wang; Wenbiao Zhang; Yong Yan; Yong Yan; William Ampomah; Junyu You; Meihong Wang; Edward J. Anthony; Vasilije Manović; Peter T. Clough,Energy & Environmental Science,10.1039/d1ee02395k,https://doi.org/10.1039/d1ee02395k,287,"A review of the state-of-the-art applications of machine learning for CO 2 capture, transport, storage, and utilisation.",相关：命中主题关键词：carbonation、mineral carbonation、rotating packed bed,"可用于方向 A 的问题定位：结合 2021 年论文《Harnessing the power of machine learning for carbon capture, utilisation, and storage (CCUS) – a state-of-the-art review》的题录和引用数 287，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。"
A,Valorization of sewage sludge in the fabrication of construction and building materials: A review,2019,Zhiyang Chang; Guangcheng Long; John L. Zhou; Cong Ma,Resources Conservation and Recycling,10.1016/j.resconrec.2019.104606,https://doi.org/10.1016/j.resconrec.2019.104606,273,unclear,相关：命中主题关键词：cement、carbonation、slag,可用于方向 A 的问题定位：结合 2019 年论文《Valorization of sewage sludge in the fabrication of construction and building materials: A review》的题录和引用数 273，优先检查其方法、材料体系或评价指标是否可迁移到超重力-混凝土研究。
