source_database,direction,direction_zh,query,records_fetched,status_code,error,retrieved_at
Semantic Scholar,A,超重力碳化固废,"""high gravity"" carbonation steel slag",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22high+gravity%22+carbonation+steel+slag&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T15:59:00.362775+00:00
Semantic Scholar,A,超重力碳化固废,"""high-gravity carbonation"" steel slag",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22high-gravity+carbonation%22+steel+slag&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T15:59:08.687877+00:00
Semantic Scholar,A,超重力碳化固废,"""rotating packed bed"" carbonation steel slag",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22rotating+packed+bed%22+carbonation+steel+slag&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T15:59:15.982351+00:00
Semantic Scholar,A,超重力碳化固废,"""high-gravity carbonation"" ""BOF slag""",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22high-gravity+carbonation%22+%22BOF+slag%22&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T15:59:23.006094+00:00
Semantic Scholar,A,超重力碳化固废,"""rotating packed bed"" mineral carbonation",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22rotating+packed+bed%22+mineral+carbonation&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T15:59:29.976137+00:00
Semantic Scholar,A,超重力碳化固废,"""process intensification"" carbonation slag",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22process+intensification%22+carbonation+slag&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T15:59:36.901318+00:00
Semantic Scholar,A,超重力碳化固废,"""high gravity"" ""mineral carbonation"" slag",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22high+gravity%22+%22mineral+carbonation%22+slag&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T15:59:43.925144+00:00
Semantic Scholar,A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",50,200,unclear,2026-05-21T15:59:50.008756+00:00
Semantic Scholar,A,超重力碳化固废,"""BOF slag"" ""CO2 sequestration""",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22BOF+slag%22+%22CO2+sequestration%22&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T15:59:56.909865+00:00
Semantic Scholar,A,超重力碳化固废,"""solid waste"" ""accelerated carbonation"" slag",0,429,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22solid+waste%22+%22accelerated+carbonation%22+slag&limit=50&fields=paperId%2Ctitle%2Cyear%2Cauthors%2Cvenue%2CexternalIds%2Curl%2Cabstract%2CcitationCount%2CopenAccessPdf,2026-05-21T16:00:04.497521+00:00
