direction,rank,title,year,authors,venue,doi,url,citation_count,source_database,query
A,1,A Review of CO2 Capture by Absorption and Adsorption,2012,Cheng‐Hsiu Yu; Chih‐Hung Huang; Chung‐Sung Tan,Aerosol and Air Quality Research,10.4209/aaqr.2012.05.0132,https://doi.org/10.4209/aaqr.2012.05.0132,1698,OpenAlex,"""high gravity"" ""mass transfer"" ""CO2""|""high gravity"" gas liquid solid reaction|""process intensified"" carbonation reactor|""rotating packed bed"" ""CO2"" ""calcium carbonate""|""rotating packed bed"" ""carbon dioxide"" mineralization|""rotating packed bed"" mineral carbonation|""rotating packed bed"" precipitation calcium carbonate"
A,2,Strategies for mitigation of climate change: a review,2020,Samer Fawzy; Ahmed I. Osman; John Doran; David W. Rooney,Environmental Chemistry Letters,10.1007/s10311-020-01059-w,https://doi.org/10.1007/s10311-020-01059-w,1428,OpenAlex,"""CO2 sequestration"" concrete curing|""process intensification"" ""mineral carbonation""|""process intensification"" carbonation slag|""process intensified"" carbonation reactor"
A,3,A review of mineral carbonation technologies to sequester CO<sub>2</sub>,2014,Aimaro Sanna; Mai Uibu; Giorgio Caramanna; Rein Kuusik; M. Mercedes Maroto‐Valer,Chemical Society Reviews,10.1039/c4cs00035h,https://doi.org/10.1039/c4cs00035h,1103,OpenAlex,"""mineral carbonation"" ""cement replacement""|""solid waste"" ""accelerated carbonation"" slag"
A,4,Substantial global carbon uptake by cement carbonation,2016,Fengming Xi; Steven J. Davis; Philippe Ciais; Douglas Crawford‐Brown; Dabo Guan; Claus Pade; Tiemao Shi; Mark Syddall; Jie Lv; Lanzhu Ji; Longfei Bing; Jiaoyue Wang; Wei Wei; Keun-Hyeok Yang; Björn Lagerblad; Isabel Galán; Carmen Andrade; Ying Zhang; Zhu Liu,Nature Geoscience,10.1038/ngeo2840,https://doi.org/10.1038/ngeo2840,643,OpenAlex,"""solid waste"" ""accelerated carbonation"" slag"
A,5,Biomass waste utilisation in low-carbon products: harnessing a major potential resource,2019,Nimisha Tripathi; Colin D. Hills; R. S. Singh; C. J. Atkinson,npj Climate and Atmospheric Science,10.1038/s41612-019-0093-5,https://doi.org/10.1038/s41612-019-0093-5,598,OpenAlex,"""solid waste"" ""accelerated carbonation"" slag"
A,6,"Biomass-based chemical looping technologies: the good, the bad and the future",2017,Xiao Zhao; Hui Zhou; Vineet Singh Sikarwar; Ming Zhao; Ah‐Hyung Alissa Park; Paul S. Fennell; Laihong Shen; Liang‐Shih Fan,Energy & Environmental Science,10.1039/c6ee03718f,https://doi.org/10.1039/c6ee03718f,540,OpenAlex,"""process intensification"" carbonation slag|""process intensified"" carbonation reactor"
A,7,Use of Incineration MSW Ash: A Review,2010,Charles Hoi King Lam; A.W.M. Ip; J. P. Barford; Gordon McKay,Sustainability,10.3390/su2071943,https://doi.org/10.3390/su2071943,521,OpenAlex,"""solid waste"" ""accelerated carbonation"" slag"
A,8,Future and emerging supplementary cementitious materials,2023,Ruben Snellings; Prannoy Suraneni; Jørgen Skibsted,Cement and Concrete Research,10.1016/j.cemconres.2023.107199,https://doi.org/10.1016/j.cemconres.2023.107199,484,OpenAlex,"""BOF slag"" ""CO2 sequestration""|""CO2 curing"" cementitious materials|""carbonated slag"" cementitious material|""carbonated steel slag"" ""supplementary cementitious material""|""carbonation curing"" recycled aggregate concrete|""mineral carbonation"" ""cement replacement""|""solid waste"" ""accelerated carbonation"" slag|""steel slag"" ""CO2 mineralization"""
A,9,CO2 mineral carbonation using industrial solid wastes: A review of recent developments,2021,Weizao Liu; Liumei Teng; Sohrab Rohani; Zhifeng Qin; Bin Zhao; Chunbao Xu; Shan Ren; Qingcai Liu; Bin Liang,Chemical Engineering Journal,10.1016/j.cej.2021.129093,https://doi.org/10.1016/j.cej.2021.129093,464,OpenAlex,"""process intensification"" ""mineral carbonation""|""steel slag"" ""CO2 mineralization"""
A,10,Outlook of carbon capture technology and challenges,2018,Tabbi Wilberforce; Ahmad Baroutaji; Bassel Soudan; Abdul Hai Alami; A.G. Olabi,The Science of The Total Environment,10.1016/j.scitotenv.2018.11.424,https://doi.org/10.1016/j.scitotenv.2018.11.424,443,OpenAlex,"""process intensification"" carbonation slag|""process intensified"" carbonation reactor"
