row_index,title,field,value
0,High-gravity intensified carbonation of larger steel slag particles: Dual-path CO2 mineralization and valorization in sustainable construction materials,abstract,unclear
0,High-gravity intensified carbonation of larger steel slag particles: Dual-path CO2 mineralization and valorization in sustainable construction materials,open_access_pdf,unclear
1,Carbonation of steel slag,abstract,unclear
1,Carbonation of steel slag,open_access_pdf,unclear
2,Optimization of BOFS high-gravity carbonation technology: Consideration of theoretical guidance for up-scaling applications,abstract,unclear
2,Optimization of BOFS high-gravity carbonation technology: Consideration of theoretical guidance for up-scaling applications,open_access_pdf,unclear
3,Carbonation technologies,abstract,unclear
3,Carbonation technologies,open_access_pdf,unclear
4,System Optimization,venue,unclear
4,System Optimization,abstract,unclear
4,System Optimization,open_access_pdf,unclear
6,An overview of utilizing CO2 for accelerated carbonation treatment in the concrete industry,open_access_pdf,unclear
8,Limits to Paris compatibility of CO2 capture and utilization,abstract,unclear
9,Elucidating the differences in the carbon mineralization behaviors of calcium and magnesium bearing alumino-silicates and magnesium silicates for CO2 storage,abstract,unclear
15,Research progress of steel slag-based carbon sequestration,open_access_pdf,unclear
18,Integrated Wastewater Treatment with Steel Slags Stabilization and CO<sub>2</sub> Fixation via High-gravity Carbonation Process,abstract,unclear
18,Integrated Wastewater Treatment with Steel Slags Stabilization and CO<sub>2</sub> Fixation via High-gravity Carbonation Process,open_access_pdf,unclear
21,Breakthrough innovations in carbon dioxide mineralization for a sustainable future,abstract,unclear
21,Breakthrough innovations in carbon dioxide mineralization for a sustainable future,open_access_pdf,unclear
23,Regenerable solvents mediate accelerated low temperature CO2 capture and carbon mineralization of ash and nano-scale calcium carbonate formation,abstract,unclear
28,Clinker-free carbonate-bonded (CFCB) products prepared by accelerated carbonation of steel furnace slags: A parametric overview of the process development,abstract,unclear
28,Clinker-free carbonate-bonded (CFCB) products prepared by accelerated carbonation of steel furnace slags: A parametric overview of the process development,open_access_pdf,unclear
34,"CO<sub>2</sub>Mineralization and Utilization by a High-Gravity Carbonation Process: Past, Present, and Future",open_access_pdf,unclear
41,Coal fly ash and bottom ash low-cost feedstocks for CO2 reduction using the adsorption and catalysis processes,abstract,unclear
43,Direct carbonation of porous materials produced from self-hardened paper mill fly ash,open_access_pdf,unclear
44,CCU pathways in Austria: A life cycle-based assessment of climate target compatibility and mitigation potentials,open_access_pdf,unclear
46,What should we do with CO2 from biogas upgrading?,open_access_pdf,unclear
52,"Development of Integrated High-Gravity-Electrodeionization (HiG-EDI) Technology for CO2 Capture, Waste Stabilization and Wastewater Reclamation",venue,unclear
58,Multicriteria Analysis Methods for enhanced Result Interpretation in Life Cycle Assessment,abstract,unclear
59,Toward low-carbon and sustainable concrete – carbonated steel slag as supplementary cementitious material: A review,open_access_pdf,unclear
62,A meta-model for comparing carbon capture storage and utilisation technologies using life cycle analysis,venue,unclear
62,A meta-model for comparing carbon capture storage and utilisation technologies using life cycle analysis,abstract,unclear
64,Process Intensification of Steel Slag Carbonation via a Rotating Packed Bed: Reaction Kinetics and Mass Transfer,open_access_pdf,unclear
65,Comparative Life Cycle Assessment (LCA) of Accelerated Carbonation Processes Using Steelmaking Slag for CO2 Fixation,open_access_pdf,unclear
66,Mineralization of Carbon Dioxide: A Literature Review,open_access_pdf,unclear
67,"Roles of carbonated recycled fines and aggregates in hydration, microstructure and mechanical properties of concrete: A critical review",abstract,unclear
70,Integration of carbon capture technologies in blast furnace based steel making: A comprehensive and systematic review,open_access_pdf,unclear
75,Development and modelling of a steel slag filter effluent neutralization process with CO2-enriched air from an upstream bioprocess,abstract,unclear
78,"Effect of Carbonation Degree on Mineral Composition, Microstructure, and Cementitious Properties of BOF Slag",abstract,unclear
86,Systematic Approach to Determination of Maximum Achievable Capture Capacity via Leaching and Carbonation Processes for Alkaline Steelmaking Wastes in a Rotating Packed Bed,open_access_pdf,unclear
87,Deployment of Accelerated Carbonation Using Alkaline Solid Wastes for Carbon Mineralization and Utilization Toward a Circular Economy,open_access_pdf,unclear
88,Integrated leaching–carbonation kinetic model on CO<sub>2</sub> mineralization of alkaline solid wastes in a high-gravity rotating packed bed,open_access_pdf,unclear
89,Enhanced performance on simultaneous removal of NOx-SO2-CO2 using a high-gravity rotating packed bed and alkaline wastes towards green process intensification,abstract,unclear
89,Enhanced performance on simultaneous removal of NOx-SO2-CO2 using a high-gravity rotating packed bed and alkaline wastes towards green process intensification,open_access_pdf,unclear
91,Simultaneously comparing various CO2-mineralized steelmaking slags as supplementary cementitious materials via high gravity carbonation,open_access_pdf,unclear
100,Recent developments and perspectives on the treatment of industrial wastes by mineral carbonation — a review,open_access_pdf,unclear
103,Experimental Study on Indirect CO<sub>2</sub> Mineralization of Industrial Solid Wastes: Electric Arc Furnace (EAF) Slag and Nickel Mine Tailings,open_access_pdf,unclear
104,Outlook of carbon capture technology and challenges,abstract,unclear
106,"Near-zero-waste processing of low-grade, complex primary ores and secondary raw materials in Europe: technology development trends",open_access_pdf,unclear
108,"Experimental study on the extraction of calcium, magnesium, vanadium and silicon from steelmaking slags for improved mineral carbonation of CO2",abstract,unclear
108,"Experimental study on the extraction of calcium, magnesium, vanadium and silicon from steelmaking slags for improved mineral carbonation of CO2",open_access_pdf,unclear
110,The evolution of lithium-ion battery recycling,open_access_pdf,unclear
112,A review of lithium extraction from natural resources,abstract,unclear
120,Is It Possible to Make Magnesia-Based Cement Environmentally Friendly?,open_access_pdf,unclear
126,Experimental Studyon Indirect CO<sub>2</sub> Mineralizationof Industrial Solid Wastes: Electric Arc Furnace (EAF) Slag and NickelMine Tailings,open_access_pdf,unclear
127,Life cycle assessment of a carbon capture utilization and storage supply chain in Italy and Germany: Comparison between carbon dioxide storage and utilization systems,abstract,unclear
134,ZeroCAL: Eliminating Carbon Dioxide Emissions from Limestone’s Decomposition to Decarbonize Cement Production,open_access_pdf,unclear
135,Carbonated recycled concrete aggregates in construction: potential and bottlenecks identified by RILEM TC 309-MCP,abstract,unclear
135,Carbonated recycled concrete aggregates in construction: potential and bottlenecks identified by RILEM TC 309-MCP,open_access_pdf,unclear
146,Comprehensive utilization of steel slag: A review,abstract,unclear
146,Comprehensive utilization of steel slag: A review,open_access_pdf,unclear
147,New insights into the effects of different CO2 mineralization conditions on steel slag as supplemental cementitious material,abstract,unclear
147,New insights into the effects of different CO2 mineralization conditions on steel slag as supplemental cementitious material,open_access_pdf,unclear
148,CO2 mineral carbonation using industrial solid wastes: A review of recent developments,abstract,unclear
148,CO2 mineral carbonation using industrial solid wastes: A review of recent developments,open_access_pdf,unclear
149,Synergistic effect of CO2-mineralized steel slag and carbonation curing on cement paste,abstract,unclear
149,Synergistic effect of CO2-mineralized steel slag and carbonation curing on cement paste,open_access_pdf,unclear
150,Dissolution of steel slag and recycled concrete aggregate in ammonium bisulphate for CO2 mineral carbonation,abstract,unclear
150,Dissolution of steel slag and recycled concrete aggregate in ammonium bisulphate for CO2 mineral carbonation,open_access_pdf,unclear
152,Enforced carbonation of cementitious materials,abstract,unclear
152,Enforced carbonation of cementitious materials,open_access_pdf,unclear
154,Evaluation of the carbon sequestration potential of steel slag in China based on theoretical and experimental labile Ca,abstract,unclear
154,Evaluation of the carbon sequestration potential of steel slag in China based on theoretical and experimental labile Ca,open_access_pdf,unclear
155,"Temperature-regulated ammonium carbonate curing of steel slag: Enhanced carbonation, strength, and CO2 mineralization for sustainable building materials",open_access_pdf,unclear
156,CO2 capture and utilization with solid waste,open_access_pdf,unclear
157,"CO2 mineralization curing steel slag-fly ash-Portland cement ternary paste: Mechanical properties, microstructure and life cycle assessment",abstract,unclear
157,"CO2 mineralization curing steel slag-fly ash-Portland cement ternary paste: Mechanical properties, microstructure and life cycle assessment",open_access_pdf,unclear
158,Carbon dioxide reduction through mineral carbonation by steel slag,abstract,unclear
158,Carbon dioxide reduction through mineral carbonation by steel slag,open_access_pdf,unclear
159,Enhancing the reactivity of calcium carbonate in CO2 mineralized steel slag by ultrasonic-assisted carbonation,abstract,unclear
159,Enhancing the reactivity of calcium carbonate in CO2 mineralized steel slag by ultrasonic-assisted carbonation,open_access_pdf,unclear
