direction,venue,paper_count,total_citations
A,Construction and Building Materials,12,503
A,Materials,12,491
A,Journal of CO2 Utilization,9,570
A,Processes,9,188
A,Frontiers in Energy Research,8,667
B,Buildings,23,189
B,Applied Sciences,11,150
B,Materials,9,96
B,Journal of Structural and Construction Engineering (Transactions of AIJ),8,18
B,IOP Conference Series Materials Science and Engineering,7,56
C,Cement and Concrete Research,17,4039
C,Construction and Building Materials,15,1567
C,Materials,11,521
C,Applied Sciences,5,228
C,Advances in Materials Science and Engineering,5,197
D,Construction and Building Materials,81,5765
D,Cement and Concrete Composites,30,4382
D,Journal of Cleaner Production,22,1973
D,Journal of Building Engineering,22,579
D,Materials,21,538
E,Construction and Building Materials,55,2304
E,Materials,25,752
E,Journal of Building Engineering,19,318
E,Cement and Concrete Composites,17,940
E,Cement & Concrete Composites,14,560
F,Chemical Engineering Journal,11,1042
F,Energies,9,574
F,Chemical Engineering and Processing - Process Intensification,8,543
F,Industrial & Engineering Chemistry Research,7,865
F,Minerals,7,254
