direction,year,paper_count
A,2015,9
A,2016,13
A,2017,11
A,2018,15
A,2019,20
A,2020,17
A,2021,19
A,2022,28
A,2023,35
A,2024,47
A,2025,47
A,2026,12
B,2015,6
B,2016,9
B,2017,7
B,2018,6
B,2019,19
B,2020,14
B,2021,28
B,2022,18
B,2023,27
B,2024,23
B,2025,18
B,2026,10
C,2015,7
C,2016,6
C,2017,10
C,2018,19
C,2019,24
C,2020,19
C,2021,22
C,2022,27
C,2023,31
C,2024,24
C,2025,26
C,2026,12
D,2015,10
D,2016,21
D,2017,22
D,2018,25
D,2019,30
D,2020,45
D,2021,37
D,2022,51
D,2023,66
D,2024,71
D,2025,55
D,2026,14
E,2015,5
E,2016,6
E,2017,10
E,2018,10
E,2019,10
E,2020,18
E,2021,27
E,2022,30
E,2023,57
E,2024,84
E,2025,116
E,2026,26
F,2015,11
F,2016,20
F,2017,42
F,2018,29
F,2019,31
F,2020,42
F,2021,31
F,2022,42
F,2023,50
F,2024,43
F,2025,35
F,2026,2
