direction,direction_zh,query,title,year,authors,venue,doi,url,abstract,citation_count,source_database,open_access_pdf,raw_id
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Experimental Investigation of Hot Steam Temperature Effects on Physicochemical Properties and Mineralization Efficiency in Steel Slag-CO2 Systems.,2025,Binwei Xia; Zhiruo Liu; Jiansong Peng,Environmental Research,10.1016/j.envres.2025.121727,https://www.semanticscholar.org/paper/08da2e3766f5497f26106766f2c6312ac07c97c2,"In the face of intensifying global warming, carbon capture, utilization, and storage (CCUS) technologies are increasingly recognized as critical pathways toward achieving carbon neutrality. Although alkaline steel slag exhibits significant carbon sequestration potential, traditional mineralization methods are limited by low mass transfer efficiency and rapid efficiency decay caused by pore blockage and active surface coverage. To address these limitations, this study proposed an innovative approach leveraging steam-mediated activation to restructure the physicochemical properties of steel slag, thereby overcoming conventional barriers. Using a custom-designed hot steam-CO2 mineralization reactor, we systematically investigated the advantages of hot steam activation over conventional wet mineralization. Furthermore, we elucidated the effects of HS temperature on steel slag-CO2 mineralization efficiency and its underlying mechanisms. Results showed that the hydrated steel slag treated with hot steam exhibits a 2.4-fold increase in specific surface area and a 1.8-fold enhancement in porosity compared to conventional wet processing. This significant optimization of the mineralization conditions leads to an improvement in mineralization efficiency, reaching 22.48%, which is four times higher than that achieved by conventional wet methods. With increasing hot steam temperature, mineralization efficiency showed significant enhancement, rising from 9.2% at 100°C to a peak of 35.14% at 220°C. The mineralization product CaCO3 exhibited a dual effect: filling micropores to reduce porosity for pores <3.5 nm, while forming new nanopores through stacking to increase porosity for pores >3.5 nm. The rapid generation of mesopores and macropores further drove the overall porosity increase. As HS temperature rose, the surface content of CaCO3 and C-S-H in MSS increased significantly. The pore-forming effect of CaCO3 stacking resulted in higher porosity, reaching 9.2 and 6.5 times the porosity and specific surface area of RSS at 220°C, respectively.",3,Semantic Scholar,unclear,08da2e3766f5497f26106766f2c6312ac07c97c2
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""","Temperature-regulated ammonium carbonate curing of steel slag: Enhanced carbonation, strength, and CO2 mineralization for sustainable building materials",2025,Ziping Pan; Jiajie Li; Xingtong Yue; Z. Wu; Dongdong Zhang; Yingxi Hu; Wen Ni; M. Hitch,Journal of Materials Research and Technology,10.1016/j.jmrt.2025.07.264,https://www.semanticscholar.org/paper/8cb5e49527429c43aff4a0b6daf781c080cd61b9,unclear,13,Semantic Scholar,unclear,8cb5e49527429c43aff4a0b6daf781c080cd61b9
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""","CO2 mineralization curing steel slag-fly ash-Portland cement ternary paste: Mechanical properties, microstructure and life cycle assessment",2025,Guoyang Yi; Wei Tian; Jun Shi; Jian Guo; Xu Cheng,Journal of Central South University,10.1007/s11771-025-6022-3,https://www.semanticscholar.org/paper/3c6d4745d9566031e704c36a4697ab8fb944be86,unclear,4,Semantic Scholar,unclear,3c6d4745d9566031e704c36a4697ab8fb944be86
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Optimizing CO2 mineralization parameters of steel slag to improve carbonation resistance of concrete: chemical and microstructure effects,2025,Yansheng Wang; Zhaofeng Li; Chao Liu; Keke Sun; Jian Zhang; Yanhai Qi,Journal of Sustainable Cement-Based Materials,10.1080/21650373.2025.2494249,https://www.semanticscholar.org/paper/93bb9fe5e32f5425d160e0e03cde47ec79623c88,"To enhance the carbonation resistance of concrete, this study optimized CO2 mineralization parameters of steel slag using the Taguchi method, revealing a nonlinear relationship between carbon content and mineralized parameters. The optimal conditions (150 min, 2.1 MPa, 78.5 °C and 36.4% humidity) achieved a carbon fixation rate of 7.82%. A amount of carbonation products covering the surface of steel slag, significantly improving steel slag’s microstructure and chemical properties. Incorporating 10% CO2 mineralized steel slag reduced the carbonation depth of concrete to 7 mm, a 30% improvement compared to pure cement concrete (10 mm). The micro-nano mineralization products fill the pores and enhance the bonding between steel slag and hydration products, thereby reducing CO2 ingress into the concrete and maintaining a high pH level. These findings show an extensible way to recycle steel slag and improve the durability and sustainability of concrete.",1,Semantic Scholar,unclear,93bb9fe5e32f5425d160e0e03cde47ec79623c88
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",High-gravity intensified carbonation of larger steel slag particles: Dual-path CO2 mineralization and valorization in sustainable construction materials,2025,Qifeng Song; Xinduo Li; Baojian Zhan; Tung-Chai Ling,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.117004,https://www.semanticscholar.org/paper/e855644624ce394da865c3f41628f2b86ec70490,unclear,10,Semantic Scholar,unclear,e855644624ce394da865c3f41628f2b86ec70490
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",New insights into the effects of different CO2 mineralization conditions on steel slag as supplemental cementitious material,2024,Linshan Li; Tiefeng Chen; Xiaojian Gao; Wenchuang Yang,Journal of Building Engineering,10.1016/j.jobe.2024.108566,https://www.semanticscholar.org/paper/66bf176a6b386217e13d60ae3f1b17550388caa1,unclear,48,Semantic Scholar,unclear,66bf176a6b386217e13d60ae3f1b17550388caa1
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Valorization of steel slag through CO2 mineralization toward improved reactivity and cementitious performance,2025,Bo Su; Yong Sun; Ping Jiang; Chao Zhang; Kai Cui; Yong Zheng; J P Qiu; Yingliang Zhao,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.119757,https://www.semanticscholar.org/paper/7598c9de0649d82cefac034069611e6a9e0549f7,unclear,4,Semantic Scholar,unclear,7598c9de0649d82cefac034069611e6a9e0549f7
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Impurities in Steel Slag during the CO2 Mineralization: Optimization and Multicycle Operation,2025,Xuan Zheng; Quan Zhou; Yikun Wang; Qingyao He; Shuiping Yan; Long Ji,Industrial &amp; Engineering Chemistry Research,10.1021/acs.iecr.4c04045,https://www.semanticscholar.org/paper/b8589766e692905dbb28238a8bffd03535d5ac75,unclear,3,Semantic Scholar,unclear,b8589766e692905dbb28238a8bffd03535d5ac75
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Direct CO2 Mineralization of Steel Slag Accelerated by Sporosarcina pasteurii,2025,Yuele Zhang; Yanjun Zhang; Jiacheng Yu; Xiang Xu; C. Cao,Energy &amp; Fuels,10.1021/acs.energyfuels.5c00935,https://www.semanticscholar.org/paper/8e371190649df1dba7c083c2cc8ebf3c7d7f6073,unclear,2,Semantic Scholar,unclear,8e371190649df1dba7c083c2cc8ebf3c7d7f6073
A,超重力碳化固废,"""steel slag"" ""CO2 mineralization""",Coupled influence of acidic impurities in incineration flue gas on CO2 mineralization and phase composition of steel slag-based aggregates,2026,Tianjing Qiu; Qun Huan; Zonghao Liu; Decheng Gu; Xian Cao; Min Song,Chemical Engineering Journal,10.1016/j.cej.2026.173606,https://www.semanticscholar.org/paper/892c1d70d1a3386cc16ff6ec028c8fff3028d897,unclear,2,Semantic Scholar,unclear,892c1d70d1a3386cc16ff6ec028c8fff3028d897
