direction,direction_id,query,request_type,from_year_note,retrieved_at,status,status_code,x_els_status,error,api_url,quota_limit,quota_remaining,attempts,returned_records,total_results,doi
centrifuged_concrete,D1,"""centrifuged concrete""",search,1990.0,2026-05-25T14:29:02.964096+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22centrifuged+concrete%22&count=20&start=0,20000,19810,1,20.0,28313,
centrifuged_concrete,D1,"""centrifugal casting concrete""",search,1990.0,2026-05-25T14:29:08.303437+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22centrifugal+casting+concrete%22&count=20&start=0,20000,19809,1,20.0,1638,
centrifuged_concrete,D1,"""centrifugally cast concrete""",search,1990.0,2026-05-25T14:29:10.037820+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22centrifugally+cast+concrete%22&count=20&start=0,20000,19808,1,20.0,2742,
centrifuged_concrete,D1,"""centrifugally formed concrete""",search,1990.0,2026-05-25T14:29:11.321849+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22centrifugally+formed+concrete%22&count=20&start=0,20000,19807,1,20.0,10534,
centrifuged_concrete,D1,"""spun concrete""",search,1990.0,2026-05-25T14:29:13.034525+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22spun+concrete%22&count=20&start=0,20000,19806,1,20.0,4152,
centrifuged_concrete,D1,"""PHC pile""",search,1990.0,2026-05-25T14:29:14.828995+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22PHC+pile%22&count=20&start=0,20000,19805,1,20.0,772,
centrifuged_concrete,D1,"""prestressed high-strength concrete pipe pile""",search,1990.0,2026-05-25T14:29:16.351974+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22prestressed+high-strength+concrete+pipe+pile%22&count=20&start=0,20000,19804,1,20.0,810,
centrifuged_concrete,D1,"""hollow concrete pile""",search,1990.0,2026-05-25T14:29:18.261022+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22hollow+concrete+pile%22&count=20&start=0,20000,19803,1,20.0,4731,
centrifuged_concrete,D1,"""concrete pipe pile""",search,1990.0,2026-05-25T14:29:19.451974+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22concrete+pipe+pile%22&count=20&start=0,20000,19802,1,20.0,10402,
centrifuged_concrete,D1,"""centrifugal forming technique"" concrete",search,1990.0,2026-05-25T14:29:20.709723+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22centrifugal+forming+technique%22+concrete&count=20&start=0,20000,19801,1,2.0,2,
geotechnical_centrifuge_modeling,D2,"""geotechnical centrifuge modeling"" concrete",search,1990.0,2026-05-25T14:29:22.265679+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22geotechnical+centrifuge+modeling%22+concrete&count=20&start=0,20000,19800,1,20.0,67,
geotechnical_centrifuge_modeling,D2,"""geotechnical centrifuge modelling"" concrete",search,1990.0,2026-05-25T14:29:23.679881+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22geotechnical+centrifuge+modelling%22+concrete&count=20&start=0,20000,19799,1,20.0,67,
geotechnical_centrifuge_modeling,D2,"""centrifuge model test"" concrete",search,1990.0,2026-05-25T14:29:25.224753+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22centrifuge+model+test%22+concrete&count=20&start=0,20000,19798,1,20.0,830,
geotechnical_centrifuge_modeling,D2,"""geotechnical centrifuge test"" concrete",search,1990.0,2026-05-25T14:29:26.774919+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22geotechnical+centrifuge+test%22+concrete&count=20&start=0,20000,19797,1,20.0,80,
geotechnical_centrifuge_modeling,D2,"""shield tunnel"" AND centrifuge",search,1990.0,2026-05-25T14:29:29.098996+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22shield+tunnel%22+AND+centrifuge&count=20&start=0,20000,19796,1,20.0,572,
geotechnical_centrifuge_modeling,D2,"""cross passage"" AND centrifuge",search,1990.0,2026-05-25T14:29:30.932637+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22cross+passage%22+AND+centrifuge&count=20&start=0,20000,19795,1,20.0,51,
geotechnical_centrifuge_modeling,D2,"""soil-structure interaction"" AND centrifuge AND concrete",search,1990.0,2026-05-25T14:29:32.308942+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22soil-structure+interaction%22+AND+centrifuge+AND+concrete&count=20&start=0,20000,19794,1,20.0,1038,
geotechnical_centrifuge_modeling,D2,"""concrete lining"" AND centrifuge",search,1990.0,2026-05-25T14:29:33.784369+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22concrete+lining%22+AND+centrifuge&count=20&start=0,20000,19793,1,20.0,206,
geotechnical_centrifuge_modeling,D2,"""pile foundation"" AND centrifuge AND concrete",search,1990.0,2026-05-25T14:29:35.064951+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22pile+foundation%22+AND+centrifuge+AND+concrete&count=20&start=0,20000,19792,1,20.0,787,
gravity_cement_hydration,D3,"""cement hydration"" AND microgravity",search,1990.0,2026-05-25T14:29:36.360525+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22cement+hydration%22+AND+microgravity&count=20&start=0,20000,19791,1,19.0,19,
gravity_cement_hydration,D3,"""cement hydration"" AND hypergravity",search,1990.0,2026-05-25T14:29:37.841208+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22cement+hydration%22+AND+hypergravity&count=20&start=0,20000,19790,1,6.0,6,
gravity_cement_hydration,D3,"""cement paste"" AND gravity",search,1990.0,2026-05-25T14:29:39.625845+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22cement+paste%22+AND+gravity&count=20&start=0,20000,19789,1,20.0,12831,
gravity_cement_hydration,D3,"""cement hydration"" AND centrifugation",search,1990.0,2026-05-25T14:29:40.969447+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22cement+hydration%22+AND+centrifugation&count=20&start=0,20000,19788,1,20.0,2041,
gravity_cement_hydration,D3,"""calcium silicate hydrate"" AND microgravity",search,1990.0,2026-05-25T14:29:42.343001+00:00,ok,200,OK,unclear,https://api.elsevier.com/content/search/sciencedirect?query=%22calcium+silicate+hydrate%22+AND+microgravity&count=20&start=0,20000,19787,1,12.0,12,
